citeKey	type	author	title	date
turchin_quantitative_2018	article	Turchin Peter and Currie Thomas E. and Whitehouse Harvey and François Pieter and Feeney Kevin and Mullins Daniel and Hoyer Daniel and Collins Christina and Grohmann Stephanie and Savage Patrick and Mendel-Gleason Gavin and Turner Edward and Dupeyron Agathe and Cioni Enrico and Reddish Jenny and Levine Jill and Jordan Greine and Brandl Eva and Williams Alice and Cesaretti Rudolf and Krueger Marta and Ceccarelli Alessandro and Figliulo-Rosswurm Joe and Tuan Po-Ju and Peregrine Peter and Marciniak Arkadiusz and Preiser-Kapeller Johannes and Kradin Nikolay and Korotayev Andrey and Palmisano Alessio and Baker David and Bidmead Julye and Bol Peter and Christian David and Cook Connie and Covey Alan and Feinman Gary and Júlíusson Árni Daníel and Kristinsson Axel and Miksic John and Mostern Ruth and Petrie Cameron and Rudiak-Gould Peter and ter Haar Barend and Wallace Vesna and Mair Victor and Xie Liye and Baines John and Bridges Elizabeth and Manning Joseph and Lockhart Bruce and Bogaard Amy and Spencer Charles	Quantitative historical analysis uncovers a single dimension of complexity that structures global variation in human social organization	NA
abbott_venice_nodate	article	Abbott Alison	VENICE GETS A TIME MACHINE	NA
ridge_crowdsourcing_nodate	article	Ridge Mia	Crowdsourcing Our Cultural Heritage	NA
van_hyning_harnessing_2019	article	Van Hyning Victoria	Harnessing crowdsourcing for scholarly and GLAM purposes	NA
djupdahl_review_nodate	article	Djupdahl Mattias and Eskor Edith and Jonsson Östen and Runardotter Mari and Ruusalepp Raivo and Sigurðsson Njörður	Review of Crowdsourcing Projects and how they relate to Linked Open Data	NA
kidd_new_2019	article	Kidd Jenny	\textitWith New Eyes I See : embodiment empathy and silence in digital heritage interpretation	NA
barranha_derivative_2018	article	Barranha Helena	Derivative Narratives: The Multiple Lives of a Masterpiece on the Internet	NA
davis_universal_nodate	article	Davis Martin	The Universal Computer	NA
van_mierlo_third_2013	incollection	Andrews Tara L.	The Third Way: Philology and Critical Edition in the Digital Age	NA
stokes_digital_2015	article	Stokes Peter A.	Digital Approaches to Paleography and Book History: Some Challenges Present and Future	NA
drucker_is_2013	article	Drucker Johanna	Is There a “Digital” Art History?	NA
windhager_visualization_2019	article	Windhager Florian and Federico Paolo and Schreder Gunther and Glinka Katrin and Dork Marian and Miksch Silvia and Mayr Eva	Visualization of Cultural Heritage Collection Data: State of the Art and Future Challenges	NA
kraker_case_nodate	article	Kraker Peter and Leony Derick and Reinhardt Wolfgang and Beham Günter	The case for an open science in technology enhanced learning	NA
masuzzo_you_nodate	article	Masuzzo Paola and Martens Lennart	Do you speak open science? Resources and tips to learn the language	NA
schreibman_modeling_2004	incollection	McCarty Willard	Modeling: A Study in Words and Meanings	NA
ramsay_algorithmic_2017	book	Ramsay Stephen	An Algorithmic Criticism	NA
romanov_algorithmic_2017	article	Romanov Maxim	Algorithmic Analysis of Medieval Arabic Biographical Collections	NA
romanov_digital_2018	article	Romanov Maxim	A Digital Humanities for Premodern Islamic History	NA
digitale_forschungsinfrastruktur_fur_die_geistes-_und_kulturwissenschaften_dariah-de_handbuch_2015	book	NA	Handbuch Digital Humanities: Anwendungen Forschungsdaten und Projekte / DARIAH-DE	NA
dimitriadis_designing_nodate	article	Dimitriadis Alexis and Musgrave Simon	Designing linguistic databases: A primer for linguists	NA
noauthor_carla_2013	article	NA	CARLA: Center for Advanced Research on Language Acquisition	NA
bettelheim_psicoanalisis_1995	book	Bettelheim Bruno and Furió Silvia	Psicoanálisis de los cuentos de hadas	NA
kozen_automata_1997	book	Kozen Dexter C.	Automata and Computability	NA
lee_data_2015	book	Lee Kent D. and Hubbard Steve	Data Structures and Algorithms with Python	NA
heumann_introduction_2016	book	Heumann Christian and Schomaker Michael and Shalabh	Introduction to Statistics and Data Analysis	NA
levenberg_research_2018	book	NA	Research Methods for the Digital Humanities	NA
hunt_beginners_2019	book	Hunt John	A Beginners Guide to Python 3 Programming	NA
hunt_introduction_nodate	article	Hunt John	Introduction to Files Paths and IO	NA
hunt_reading_2019	incollection	Hunt John	Reading and Writing Files	NA
hunt_regular_2019	incollection	Hunt John	Regular Expressions in Python	NA
hunt_stream_2019	incollection	Hunt John	Stream IO	NA
hunt_working_2019	incollection	Hunt John	Working with CSV Files	NA
hunt_working_2019-1	incollection	Hunt John	Working with Excel Files	NA
oregan_automata_2016	incollection	O’Regan Gerard	Automata Theory	NA
richard_en_2010	book	NA	En torno a los estudios culturales: localidades trayectorias y disputas	NA
